,year,sentence1,sentence2,score
4192,2013,NATO: 4 nhân cứu cứu khỏi quân cứu cứu khỏi quân nổi dậy Afghanistan,ứu 5 nhân viên cứu trợ được giải cứu trong chiến dịch tại Afghanistan 5 nhân viên cứu trợ được giải cứu trong chiến dịch tại Afghanistan,2.8
4193,2013,on trai của Sylvester Stallone được tìm thấy đã chết ở Hollywood.,"Con trai của Sylvester Stallone, Sage Stallone, được tìm thấy đã chết ở Hol",3.4
4194,2013,Người tìm thấy xe trên eBay 42 năm sau khi bị đánh cắp Người tìm thấy xe trên eBay 42 năm sau khi bị đánh cắp,Người đàn ông Texas tìm thấy xe của mình 42 năm sau khi bị đánh cắp tìm thấy xe 42 năm sau khi bị mất cắp,3.6
4195,2013,Mitt Romney chiến thắng giải bầu cử bang Maryland GOP,Romney chiến thắng Maryland Republican primary,4.8
4196,2013,Lãnh đạo Palestine lên án tiếng kêu gọi của đài FM Israel kêu gọi Abbas từ đài FM Israel,"Lãnh đạo Palestine ủng hộ thỏa thuận Fatah-Hamas Doha, với sự hậu thuẫn của chính phủ Palestine.",1.0
4197,2013,ổ phiếu Trung Quốc giảm giá xuống trong tuần Trung Quốc. Cổ phiếu Trung Quốc giảm giá vào hôm thứ Tư. Cổ phiếu Trung Quốc giảm giá vào hôm thứ Tư. Cổ phiếu Trung Quốc giảm giá vào hôm thứ Tư. Cổ phiếu Trung Quốc giảm giá vào hôm thứ 4. Cổ phiếu Trung Quốc giảm giá trong tuần Trung Quốc. Trung cổ phiếu Trung Quốc mở giá thấp hơn. Trung Quốc mở giá thấp vào hôm thứ Tư. Cổ phiếu Trung Trung mở giá thấp hơn. Trung Quốc mở giá thấp vào hôm thứ 4.,rung Trung cổ phiếu mở giá thấp hơn vào hôm thứ Sáu,2.4
4198,2013,ATO soldier dies in Afghanistan,"Hai binh sĩ Áo bị thương ở Afghanistan, hai người lính bị thương ở Afghanistan.",0.6
4199,2013,àng gay hơn với tình trạng khó xử trong vấn đề khó xử của gói cứu trợ của Tây Ban Nha,Vấn đề tiến thoái lưỡng nan của tiếng Tây Ban Nha ngày càng trở nên phức tạp hơn,3.4
4200,2013,Y sĩ: Hai người thiệt mạng trong cuộc tấn công mới của Israel ở Gaza: hai nhân tử vong: y sĩ,"5 người chết trong các cuộc đình công ở Gaza, các chiến binh bắn phá Israel",2.0
4201,2013,ạ hạ viện bỏ hạ hạ để bầu cử,"Iran và các cường quốc thế giới chuẩn bị đàm phán hạt nhân, Iran và các nước khác chuẩn bị đàm phán hạt nhân, Iran và các nước khác chuẩn bị đàm phán hạt nhân, Iran và các nước khác chuẩn bị đàm phán hạt nhân, Iran và các nước khác chuẩn bị đàm phán hạt nhân, Iran và các nước khác chuẩn bị đàm phán hạt nhân, Iran và các nước khác chuẩn bị đàm phán hạt nhân, Iran và các nước khác chuẩn bị đàm phán hạt nhân, Iran và các nước khác chuẩn bị đàm phán hạt nhân, Iran và các nước khác chuẩn bị đàm phán hạt nhân, Iran và các nước khác chuẩn bị đàm phán hạt nhân, Iran và các nước khác chuẩn bị đàm phán hạt nhân, Iran và các nước khác chuẩn bị đàm phán hạt nhân, Iran và các nước khác chuẩn bị đàm phán hạt nhân, Iran và các nước khác chuẩn bị đàm phán hạt nhân, Iran và các nước khác chuẩn bị đàm phán hạt nhân, Iran và các nước khác chuẩn bị đàm phán hạt nhân, Iran và các nước khác chuẩn bị đàm phán hạt nhân, Iran và các nước khác chuẩn bị đàm phán hạt nhân, Iran và các nước khác chuẩn bị đàm phán hạt nhân, Iran và các nước khác chuẩn bị đàm phán hạt nhân, Iran và các nước khác chuẩn bị đàm phán hạt nhân, Iran và các nước khác chuẩn bị đàm phán hạt nhân, Iran và các nước khác chuẩn bị đàm phán hạt nhân, Iran và các nước khác chuẩn bị đàm phán hạt nhân, Iran và các nước khác chuẩn bị đàm phán hạt nhân, Iran và các nước khác chuẩn bị đàm phán hạt nhân, Iran và các nước khác chuẩn bị đàm phán hạt nhân, Iran và các nước khác chuẩn bị đàm phán hạt nhân, Iran và các nước khác chuẩn bị đàm phán hạt nhân, Iran và các nước khác chuẩn bị đàm phán hạt nhân, Iran và các nước khác chuẩn bị đàm phán hạt nhân, Iran và các nước khác chuẩn bị đàm phán hạt nhân, Iran và các nước khác chuẩn đặt cho đàm phán hạt nhân, Iran và các nước khác chuẩn đặt cho đàm phán hạt nhân, Iran và các nước khác chuẩn đặt cho đàm phán hạt nhân, Iran và các nước khác chuẩn đặt cho đàm phán hạt nhân, Iran và các nước khác chuẩn đặt cho đàm phán hạt nhân, Iran và các nước khác chuẩn đặt cho đàm phán hạt nhân, Iran và các nước khác chuẩn đặt cho đàm phán hạt nhân, Iran và các nước khác chuẩn đặt cho đàm phán hạt nhân, Iran và các nước khác chuẩn đặt",0.0
4202,2013,yria Syria bất ổn Assad nói lính đánh thuê đứng đằng sau Syria,yria: Assad cáo buộc Mỹ đổ thêm dầu lửa vào cuộc nổi dậy Syria,3.33333333333333
4203,2013,Mubarak Ai Cập chỉ trích chính quyền Ai Cập.,Mubarak Ai Cập đang trong tình trạng nguy kịch.,4.6
4204,2013,"Hoa Kỳ ra lệnh cho các nhân viên không cần thiết rời khỏi Sudan, Tunisia","Hoa Kỳ ra lệnh cho các nhân viên không cần thiết rời Tunisia, Sudan",4.0
4205,2013,oms: Quân nổi phiến Syria bỏ bao vây Homs,uân phiến quân Syria rút lui khỏi vùng bị bao vây Homs district của phiến quân Syria rút lui khỏi vùng Homs bị bao vây. Quân phiến quân Syria rút lui khỏi vùng bị bao vây Homs district của phiến quân Syria rút lui khỏi vùng bị bao vây Homs district của phiến quân Syria rút lui khỏi vùng bị bao vây Homs district của phiến quân Syria rút lui khỏi vùng bị bao vây Homs district của phiến quân Syria rút lui khỏi vùng bị bao vây Homs district của phiến quân Syria rút lui khỏi vùng bị bao vây Homs district của phiến quân Syria rút lui khỏi huyện Homs bị bao vây,4.4
4206,2013,akistan: Không drone giết 5 quân ở Pakistan,rone strike giết bốn nghi chiến đã giết bốn nghi chiến ở Pakistan,3.0
4207,2013,Nokia xin lỗi vì quảng cáo 'giả mạo'. Nokia xin lỗi vì quảng cáo 'giả mạo'.,S miễn miễn cho viện Pak Aid,0.0
4208,2013,gười đàn ông bị cáo sau khi nghị viên bị thương trong cuộc tấn công,Người bị cáo tội giết người trong căn hộ.,1.4
4209,2013,Tương lai chỉ tương lai chỉ tương lai chỉ tương lai chỉ thị chứng khoán giảm xuống,tương lai chỉ giá tương lai chỉ thị cổ phiếu báo lỗ sớm,4.4
4210,2013,Châu Âu đồng loạt tăng khi Trung Quốc càng tăng kích cầu châu Âu khi châu Âu cùng chung khi Trung Quốc càng tăng kích cầu châu Âu,iá dầu tăng với hy vọng kích kích giá tăng giá dầu tăng. Giá dầu tăng với hy vọng kích kích giá tăng giá dầu tăng. Giá dầu tăng với hy vọng kích kích giá tăng giá dầu tăng. Giá dầu tăng với hy vọng kích kích giá tăng giá dầu tăng. Giá dầu tăng với hy vọng kích kích giá tăng giá dầu tăng. Giá dầu tăng với hy vọng kích kích giá tăng giá dầu tăng. Giá dầu tăng với hy vọng kích kích giá tăng giá dầu tăng. Giá dầu tăng với hy vọng kích kích giá tăng giá dầu tăng. Giá dầu tăng với hy vọng kích kích giá tăng giá dầu tăng. Giá dầu tăng với hy vọng kích kích giá tăng giá dầu tăng. Giá dầu tăng với hy vọng kích kích giá tăng giá dầu tăng. Giá dầu tăng với hy vọng kích kích giá tăng giá dầu tăng. Giá dầu tăng với hy vọng kích kích giá tăng giá dầu tăng. Giá dầu tăng với hy vọng kích kích giá tăng giá dầu tăng. Giá dầu tăng với hy vọng kích kích giá tăng giá dầu tăng. Giá dầu tăng với hy vọng kích kích giá tăng giá dầu tăng. Giá dầu tăng với hy vọng kích kích giá tăng giá dầu tăng. Giá dầu tăng với hy vọng kích kích giá tăng giá dầu tăng. Giá dầu tăng với hy vọng kích kích giá tăng giá dầu tăng. Giá dầu tăng với hy vọng kích kích giá tăng giá dầu tăng. Giá dầu tăng với hy vọng kích kích giá tăng giá dầu tăng. Giá dầu tăng với hy vọng kích kích giá tăng giá dầu tăng. Giá dầu tăng với hy vọng kích kích giá tăng giá dầu tăng. Giá dầu tăng với hy vọng kích kích giá tăng giá dầu tăng. Giá dầu tăng với hy vọng kích kích giá tăng giá dầu tăng. Giá dầu tăng với hy vọng kích kích giá tăng giá dầu tăng. Giá dầu tăng với hy vọng kích kích giá tăng giá dầu tăng. Giá dầu tăng với hy vọng kích kích giá tăng giá dầu tăng. Giá dầu tăng với hy vọng kích kích giá tăng giá dầu tăng. Giá dầu tăng với hy vọng kích kích giá tăng giá dầu tăng. Giá dầu tăng với hy vọng kích kích giá tăng giá dầu tăng. Giá dầu tăng với hy vọng kích kích giá tăng giá dầu tăng. Giá dầu tăng với hy vọng kích kích giá tăng giá dầu tăng. Giá dầu tăng với hy vọng kích kích giá tăng giá dầu tăng. Giá dầu tăng với hy vọng kích kích giá tăng giá dầu tăng. Giá dầu tăng với hy vọng kích kích giá tăng giá dầu tăng. Giá dầu tăng với hy vọng,0.8
4211,2013,Phố Wall mở rộng và giảm dần.,hố Wall Kết Cuối Phố Wall Hỗn Loạn,2.0
4212,2013,"Nghị viện 20 thành viên, nhóm thương mại rời khỏi Ấn Độ",ạm biệt thương thương thư xin phép thương nhân tạm biệt thương nhân,0.0
4213,2013,Lực lượng Syria tiến quân Syria chiếm lại Aleppo,Chính quyền Syria Đấu thầu để chiếm lại thành phố Aleppo,4.4
4214,2013,David Rathband: nỗi sợ của anh trai sinh đôi về 'người bạn tốt nhất ',avid Miliband: anh trai tôi và sự trở lại với thời Labour,0.2
4215,2013,"Thiếu niên Mỹ bị giam ở Chicago, âm mưu đánh bom xe 'chiến tranh' xe bom",Thanh thiếu niên Chicago bị bắt trong vụ đánh bom xe Chicago,3.4
4216,2013,4 người chết trong cuộc tấn công tự sát 4 người chết trong cuộc tấn công tự sát 4 người chết trong cuộc tấn công tự sát của Mỹ ở Pakistan,Cuộc tấn công của drone Strike giết 3 người ở Pakistan,3.0
4217,2013,ome Iron Dome ở Trung Israel IDF triển khai IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung Israel IDF để triển Iron Dome ở Trung,ão tuyết lớn đổ xuống vùng đồng bằng Trung Nguyên,0.0
4218,2013,rung cổ phiếu Trung Quốc tăng giá cao hơn vào hôm thứ Tư. Các cổ phiếu Trung Quốc tăng giá cao hơn vào hôm thứ Tư. Các cổ phiếu Trung Quốc tăng giá cao hôm thứ Trung Quốc. Trung cổ phiếu Trung Quốc mở giá cao hơn vào hôm thứ Trung Trung cổ phiếu mở cao hơn hôm thứ Trung Trung cổ phiếu mở cao hôm thứ Trung Trung.,ỹ mở giá cổ phiếu Mỹ tăng cao hơn bất chấp GDP thất bại,0.8
4219,2013,"Máy bay phản lực của hải quân đâm vào căn hộ của Mỹ, phi công thoát thân",Máy bay Hải Hải Hải Pháp chạy xuống các tòa nhà ở Virginia.,3.4
4220,2013,l-Qaeda nói đã bắt được 70 lính Yemen trong trận chiến ở Abyan. Al-Qaeda nói đã bắt được 70 lính Yemen trong trận chiến ở Abyan.,"Các cuộc đụng độ của Al Qaeda, vụ nổ súng giết chết 35 binh sĩ ở Yemen đã khiến 35 người bị giết.",1.4
4221,2013,NATO tấn công 'giết thường dân' ở Afghanistan: NATO tấn công 'giết thường dân' ở Afghanistan: NATO tấn công 'giết thường dân' ở Afghanistan,Hai lính NATO thiệt mạng ở Afghanistan. Hai binh sĩ NATO thiệt mạng ở Afghanistan. Hai binh sĩ NATO thiệt mạng ở Afghanistan. Hai binh sĩ NATO thiệt mạng ở Afghanistan. Hai binh sĩ NATO thiệt mạng ở Afghanistan. Hai binh sĩ NATO thiệt mạng ở Afghanistan. Hai binh sĩ NATO thiệt mạng ở Afghanistan. Hai binh sĩ NATO thiệt mạng ở Afghanistan. Hai binh sĩ NATO thiệt mạng ở Afghanistan. Hai binh sĩ NATO thiệt mạng ở Afghanistan. Hai binh sĩ NATO thiệt mạng ở Afghanistan. Hai binh sĩ NATO thiệt mạng ở Afghanistan. Hai binh sĩ NATO thiệt mạng ở Afghanistan. Hai binh sĩ NATO thiệt mạng ở Afghanistan. Hai binh sĩ NATO thiệt mạng ở Afghanistan. Hai binh sĩ NATO thiệt mạng ở Afghanistan. Hai binh sĩ NATO thiệt mạng ở Afghanistan. Hai binh sĩ NATO thiệt mạng ở Afghanistan. Hai binh sĩ NATO thiệt mạng ở Afghanistan. Hai binh sĩ NATO thiệt mạng ở Afghanistan. Hai binh sĩ NATO thiệt mạng ở Afghanistan. Hai binh sĩ NATO thiệt mạng ở Afghanistan. Hai binh sĩ NATO thiệt mạng ở Afghanistan. Hai binh sĩ NATO thiệt mạng ở Afghanistan. Hai binh sĩ NATO thiệt mạng ở Afghanistan. Hai binh sĩ NATO thiệt mạng ở Afghanistan. Hai binh sĩ NATO thiệt mạng ở Afghanistan. Hai binh sĩ NATO thiệt mạng ở Afghanistan. Hai binh sĩ NATO thiệt mạng ở Afghanistan. Hai binh sĩ NATO thiệt mạng ở Afghanistan. Hai binh sĩ NATO thiệt mạng ở Afghanistan. Hai binh sĩ NATO thiệt mạng ở Afghanistan. Hai binh sĩ NATO thiệt mạng ở Afghanistan. Hai binh sĩ NATO thiệt mạng ở Afghanistan. Hai binh sĩ NATO thiệt mạng ở Afghanistan. Hai binh sĩ NATO thiệt mạng ở Afghanistan. Hai binh sĩ NATO thiệt mạng ở Afghanistan. Hai binh sĩ NATO thiệt mạng ở Afghanistan. Hai binh sĩ NATO thiệt mạng ở Afghanistan. Hai binh sĩ NATO thiệt mạng ở Afghanistan. Hai binh sĩ NATO thiệt mạng ở Afghanistan. Hai binh sĩ NATO thiệt mạng ở Afghanistan. Hai binh sĩ NAT,0.8
4222,2013,"Tổng thống Maldives từ chức sau khi cảnh sát nổi loạn, biểu tình phản đối",Tổng thống Maldives từ chức sau nhiều tuần phản kháng,3.4
4223,2013,IAEA Hàn Quốc đạt tiến bộ lò phản hạt nhân 'đáng quan trọng' - IAEA,Hàn Quốc hứa mở rộng răn đe hạt nhân,2.8
4224,2013,Giá cổ phiếu Trung Quốc giảm sau khi cắt giảm RRR - 14 tháng 5 cổ phiếu Trung Quốc giảm sau khi cắt giảm RRR - Trung Quốc giảm sau đợt giảm giá cổ phiếu Trung Quốc - 14 tháng 5 cổ phiếu Trung Quốc giảm sau khi cắt giảm RRR - Trung Quốc giảm sau đợt giảm giá RRR - 14 tháng 5,ổ phiếu Trung Quốc tăng giá cổ phiếu Trung Quốc vào giữa trưa hôm thứ Hai,2.0
4225,2013,Tướng Mỹ-Af liên quan đến vụ bê căng Petraeus,etraeus có liên quan đến vụ bê bê của tướng cao cấp Mỹ liên quan đến vụ bê căng căng Petraeus.,3.8
4226,2013,7 nạn nhân thảm sát được tưởng niệm 77 nạn nhân thảm sát.,Na kỷ kỷ niệm ngày kỷ niệm vụ thảm sát,2.8
4227,2013,Russian arrested killer denies ties to Pussy Riot.,Hàng chục người bị bắt trong vụ biểu tình phản đối tháp truyền hình Nga phản đối,0.8
4228,2013,ran đã hết thời hạn không có lệnh trừng phạt mới nào. Iran đã hết thời hạn không có lệnh trừng phạt mới nào.,"EU đã tiến gần hơn tới lệnh trừng phạt mới của Iran, khiến EU đẩy mạnh lệnh trừng phạt mới của Iran.",1.6
4229,2013,ết quả bầu cử tổng thống Ai Cập bị trì hoãn,rì hoãn kết quả bầu cử Ai Cập bị trì hoãn,4.2
4230,2013,"Lực lượng Syria bắn phá Homs, Nga cảnh báo nội chiến","Lực lượng Syria bắn phá Homs, Lavrov đến để đàm phán Lực lượng Syria bắn phá Homs, Lavrov đến để đàm phán",2.6
4231,2013,Nam Phi mìn đụng nổ giết chết ít nhất 30 người Nam Phi nổ mìn nổ giết chết ít nhất 30 người,Nam Phi: Nam Phi: Nam Phi: Nam Phi: Hàn Quốc tàu tai nạn giết 26 người,0.8
4232,2013,Cộng chính New Syria: New Syria: New Syria: lãnh đạo đối lập muốn viện trợ không dây,Syria hợp quân Syria khi Israel cảnh báo Israel hợp thành khi Israel bắn cảnh cáo Syria liên minh đối lập Syria khi Israel bắn cảnh cáo,1.0
4233,2013,"Hai binh sĩ Áo bị thương ở Afghanistan, hai người lính bị thương ở Afghanistan.",4 binh lính ngoại quốc thiệt mạng ở Afghanistan 4 binh lính ngoại quốc thiệt mạng ở Afghanistan 4 binh lính ngoại quốc thiệt mạng ở Afghanistan 4 binh lính ngoại quốc thiệt mạng ở Afghanistan,1.2
4234,2013,Tỉ lệ bỏ phiếu của Obama giảm mạnh so với các đối thủ Cộng hòa.,bama chiến thắng lớn của Tây Ban Nha khiến Đảng Cộng hoà lo lắng,1.0
4235,2013,Myanmar: Đối lập tuyên bố Suu Kyi giành chiến thắng,ử tri ở Myanmar hy vọng đảng của bà Suu Kyi sẽ thắng cử. Cử tri ở Myanmar hy vọng đảng của bà Suu Kyi sẽ thắng cử. Cử tri ở Myanmar hy vọng đảng của bà Suu Kyi sẽ thắng cử.,3.2
4236,2013,Cổ phiếu Trung Quốc tăng giá vào giữa trưa thứ Sáu. Cổ phiếu Trung Quốc tăng giá vào giữa trưa thứ Sáu. Cổ phiếu Trung Quốc tăng giá vào giữa trưa thứ Sáu. Cổ phiếu Trung Quốc giá cổ phiếu Trung Quốc tăng cao hơn vào trưa thứ Sáu.,Giá cổ phiếu Trung Quốc tăng cao vào giữa trưa hôm Trung Quốc cổ phiếu Trung Quốc tăng cao vào giữa trưa hôm Trung Quốc. Giá cổ phiếu Trung Quốc tăng cao vào giữa trưa hôm Trung Quốc. Giá cổ phiếu Trung Quốc tăng cao vào giữa trưa hôm Trung Quốc. Giá cổ phiếu Trung Quốc tăng cao vào giữa trưa hôm Trung Quốc. Trung cổ phiếu Trung Quốc tăng cao vào giữa trưa hôm thứ Sáu. Giá cổ phiếu Trung Quốc tăng cao vào giữa trưa hôm Trung Quốc. Trung cổ phiếu Trung Quốc tăng cao vào giữa trưa hôm Trung Quốc. Trung cổ phiếu Trung Quốc tăng cao vào giữa trưa hôm Trung Quốc. Trung cổ phiếu Trung Quốc tăng cao vào giữa trưa hôm Trung Quốc. Trung cổ phiếu Trung Quốc tăng cao vào giữa trưa hôm Trung Quốc. Trung cổ phiếu Trung Quốc tăng cao vào giữa trưa hôm Trung Quốc. Trung cổ phiếu Trung Quốc tăng cao vào giữa trưa hôm Trung Quốc. Trung cổ phiếu Trung Quốc tăng cao vào giữa trưa hôm thứ Sáu. Trung cổ phiếu Trung Quốc tăng cao vào giữa trưa hôm Trung Quốc. Trung cổ phiếu Trung Quốc tăng cao vào giữa trưa hôm Trung Quốc. Trung cổ phiếu Trung Quốc tăng cao vào giữa trưa hôm Trung Quốc. Trung cổ phiếu Trung Quốc tăng cao vào giữa trưa hôm Trung Quốc. Trung cổ phiếu Trung Quốc tăng cao vào giữa trưa hôm thứ Sáu. Trung cổ phiếu Trung Quốc tăng cao vào giữa trưa hôm Trung Quốc. Trung cổ phiếu Trung Quốc tăng cao vào giữa trưa hôm Trung Quốc. Trung cổ phiếu Trung Quốc tăng cao vào giữa trưa hôm Trung Quốc. Trung cổ phiếu Trung Quốc tăng cao vào giữa trưa hôm Trung Quốc. Trung cổ phiếu Trung Quốc tăng cao vào giữa trưa hôm Trung Quốc. Trung cổ phiếu Trung Quốc tăng cao vào giữa trưa hôm thứ Sáu. Trung cổ phiếu Trung Quốc tăng cao vào giữa trưa hôm Trung Quốc. Trung cổ phiếu Trung Quốc tăng cao vào giữa trưa hôm Trung Quốc. Trung cổ phiếu Trung Quốc tăng cao vào giữa trưa hôm Trung Quốc. Trung cổ phiếu Trung Quốc tăng cao vào giữa trưa hôm Trung Quốc. Trung cổ phiếu Trung Quốc tăng cao vào giữa trưa hôm Trung Quốc. Trung cổ phiếu Trung Quốc tăng cao vào giữa trưa hôm Trung Quốc. Trung cổ phiếu Trung Quốc tăng cao vào giữa trưa hôm thứ Sáu. Trung cổ phiếu Trung Quốc tăng cao vào giữa trưa hôm Trung Quốc. Trung cổ phiếu Trung Quốc tăng cao vào giữa trưa hôm Trung Quốc. Trung cổ phiếu Trung Quốc tăng cao vào giữa trưa hôm Trung Quốc. Trung cổ phiếu Trung Quốc tăng cao vào giữa trưa hôm Trung Quốc. Trung cổ phiếu Trung Quốc tăng cao,4.6
4237,2013,yria đã ngừng tấn công Syria đã ngừng tấn công Syria đã ngừng tấn công Syria đã ngừng tấn công Syria đã ngừng tấn công Syria đã ngừng tấn công Syria đã ngừng tấn công Syria đã ngừng tấn công Syria đã ngừng tấn công Syria đã ngừng tấn công Syria đã ngừng tấn công Syria đã ngừng tấn công Syria đã ngừng tấn công Syria đã ngừng tấn công Syria đã ngừng tấn công Syria đã ngừng tấn công Syria đã ngừng tấn công Syria đã ngừng tấn công Syria đã ngừng tấn công Syria đã ngừng tấn công Syria đã ngừng tấn công Syria đã ngừng tấn công Syria đã ngừng tấn Syria đã ngừng tấn Syria đã ngừng tấn Syria đã ngừng tấn Syria đã ngừng tấn Syria đã ngừng tấn Syria đã ngừng tấn Syria đã ngừng tấn Syria đã ngừng tấn Syria đã ngừng tấn Syria đã ngừng tấn Syria đã ngừng tấn Syria đã ngừng tấn Syria đã ngừng tấn Syria đã ngừng tấn Syria đã ngừng tấn Syria đã ngừng tấn Syria đã ngừng tấn Syria đã ngừng tấn Syria đã ngừng tấn Syria đã ngừng tấn Syria đã ngừng tấn Syria,Syria: Syria báo cáo 'thiệt tàn sát',1.0
4238,2013,akistan: Không drone giết 5 quân ở Pakistan,"emen, Mỹ không máy bay không máy bay không máy bay không đánh Mỹ giết 16 nghi quân ở Yemen. Máy bay không không máy bay của Mỹ đã giết 16 nghi quân ở Yemen.",1.8
4239,2013,Armstrong bước xuống từ Livestrong,Armstrong đứng từ Livestrong,4.6
4240,2013,ảnh sát cảnh sát cảnh sát cảnh sát cảnh sát cảnh sát,ổi lên 300 nạn nhân tiềm ẩn nổi lên ở Anh: 300 nạn nhân nổi lên tiềm ẩn bạo hành bạo dâm xuất hiện,3.6
4241,2013,"BP bán một số tài sản ở Vịnh Mexico với giá 5,55 tỷ USD. BP bán một số tài sản ở Vịnh Mexico với giá 5,55 tỷ USD.","BP bán tài sản Vịnh Mexico cho Plains với giá 5,55 tỷ USD. BP bán tài sản Vịnh Mexico cho Plains với giá 5,5 tỷ USD.",3.6
4242,2013,Kinh doanh nông nghiệp Kinh doanh bò điên được tìm thấy ở California,ệnh bò điên ở California,4.2
4243,2013,Iran says UN talks on nuclear will continue Iran says UN talks on nuclear will continue Iran says UN talks on nuclear will continue Iran says UN talks on nuclear will continue Iran says UN talks on nuclear will continue Iran says UN talks on nuclear will continue Iran says UN talks on nuclear will continue Iran says UN talks on nuclear will continue Iran says UN talks on nuclear will continue Iran says UN talks on nuclear will continue Iran says UN talks on nuclear will continue Iran says UN talks on nuclear will continue Iran says UN talks on nuclear will continue Iran says UN talks on nuclear will continue Iran says UN talks on nuclear will continue Iran says UN talks on nuclear will continue Iran says UN talks on nuclear will continue Iran says UN talks on nuclear will continue Iran says UN talks on nuclear will continue Iran says UN talks on nuclear will continue Iran says UN talks on nuclear will continue Iran says UN talks on nuclear will continue Iran says UN talks on nuclear will continue Iran says UN talks on nuclear will continue Iran says UN talks on nuclear will continue Iran says UN talks on nuclear will continue Iran says UN talks on nuclear will continue Iran says UN talks on nuclear will continue Iran says UN talks on nuclear will continue Iran says UN talks on nuclear will continue Iran says UN talks on nuclear will continue Iran says UN talks on nuclear will continue Iran says UN talks on nuclear will continue Iran says UN talks on nuclear will continue Iran says UN talks on nuclear will continue,Iran nói các cuộc đàm phán hạt nhân với Liên Hợp Quốc là 'cải tiến',2.8
4244,2013,Ngoại hối và vàng 25 tháng 8 năm 2012,Ngoại hối & Vàng 19 tháng 7 năm 2012,2.2
4245,2013,hi cho Kế Kế Kế Kế Kế,ắt giảm ngân sách Kế Kế Kế Kế,3.0
